Year,Month,Annual Average Inflation,12-Month Inflation,Month Number
2005,January,12.27,14.87,1
2005,February,12.6,13.94,2
2005,March,13.07,14.15,3
2005,April,13.76,16.02,4
2005,May,14.61,14.78,5
2005,June,15.1,11.92,6
2005,July,15.34,11.76,7
2005,August,14.53,6.87,8
2005,September,13.24,4.27,9
2005,October,11.99,3.72,10
2005,November,10.89,4.4,11
2005,December,9.87,4.7,12
2006,January,9.36,8.39,1
2006,February,9.01,9.39,2
2006,March,8.61,8.85,3
2006,April,7.77,5.44,4
2006,May,6.95,4.47,5
2006,June,6.33,4.28,6
2006,July,5.73,4.16,7
2006,August,5.57,4.92,8
2006,September,5.7,5.93,9
2006,October,5.94,6.55,10
2006,November,6.12,6.64,11
2006,December,6.39,7.98,12
2007,January,6.08,4.63,1
2007,February,5.55,3.02,2
2007,March,4.99,2.19,3
2007,April,4.69,1.85,4
2007,May,4.47,1.96,5
2007,June,4.46,4.07,6
2007,July,4.57,5.48,7
2007,August,4.6,5.3,8
2007,September,4.57,5.53,9
2007,October,4.48,5.38,10
2007,November,4.45,6.08,11
2007,December,4.27,5.7,12
2008,January,4.69,9.4,1
2008,February,5.32,10.58,2
2008,March,6.13,11.9,3
2008,April,7.32,16.12,4
2008,May,8.7,18.61,5
2008,June,9.86,17.87,6
2008,July,10.83,17.12,7
2008,August,11.92,18.33,8
2008,September,13.02,18.73,9
2008,October,14.13,18.74,10
2008,November,15.25,19.54,11
2008,December,16.27,17.83,12
2009,January,16.56,13.22,1
2009,February,16.87,14.69,2
2009,March,17.07,14.6,3
2009,April,16.72,12.42,4
2009,May,15.93,9.61,5
2009,June,15.11,8.6,6
2009,July,14.35,8.44,7
2009,August,13.42,7.36,8
2009,September,12.41,6.74,9
2009,October,11.42,6.62,10
2009,November,10.24,5,11
2009,December,9.24,5.32,12
2010,January,8.64,5.95,1
2010,February,7.88,5.18,2
2010,March,7.03,3.97,3
2010,April,6.32,3.66,4
2010,May,5.85,3.88,5
2010,June,5.43,3.49,6
2010,July,5.03,3.57,7
2010,August,4.69,3.22,8
2010,September,4.4,3.21,9
2010,October,4.12,3.18,10
2010,November,4.02,3.84,11
2010,December,3.96,4.51,12
2011,January,3.93,5.42,1
2011,February,4.05,6.54,2
2011,March,4.49,9.19,3
2011,April,5.2,12.05,4
2011,May,5.96,12.95,5
2011,June,6.88,14.48,6
2011,July,7.88,15.53,7
2011,August,9,16.67,8
2011,September,10.18,17.32,9
2011,October,11.49,18.91,10
2011,November,12.82,19.72,11
2011,December,14.02,18.93,12
2012,January,15.1,18.31,1
2012,February,15.93,16.69,2
2012,March,16.45,15.61,3
2012,April,16.5,13.06,4
2012,May,16.4,12.22,5
2012,June,15.97,10.05,6
2012,July,15.27,7.74,7
2012,August,14.33,6.09,8
2012,September,13.29,5.32,9
2012,October,12.04,4.14,10
2012,November,10.67,3.25,11
2012,December,9.38,3.2,12
2013,January,8.2,3.67,1
2013,February,7.24,4.45,2
2013,March,6.33,4.11,3
2013,April,5.61,4.14,4
2013,May,4.96,4.05,5
2013,June,4.56,4.91,6
2013,July,4.44,6.03,7
2013,August,4.5,6.67,8
2013,September,4.75,8.29,9
2013,October,5.05,7.76,10
2013,November,5.39,7.36,11
2013,December,5.72,7.15,12
2014,January,6.01,7.21,1
2014,February,6.21,6.86,2
2014,March,6.39,6.27,3
2014,April,6.58,6.41,4
2014,May,6.85,7.3,5
2014,June,7.05,7.39,6
2014,July,7.19,7.67,7
2014,August,7.33,8.36,8
2014,September,7.19,6.6,9
2014,October,7.08,6.43,10
2014,November,6.97,6.09,11
2014,December,6.88,6.02,12
2015,January,6.74,5.53,1
2015,February,6.63,5.61,2
2015,March,6.63,6.31,3
2015,April,6.69,7.08,4
2015,May,6.65,6.87,5
2015,June,6.63,7.03,6
2015,July,6.54,6.62,7
2015,August,6.34,5.84,8
2015,September,6.29,5.97,9
2015,October,6.31,6.72,10
2015,November,6.42,7.32,11
2015,December,6.58,8.01,12
2016,January,6.77,7.78,1
2016,February,6.87,6.84,2
2016,March,6.88,6.45,3
2016,April,6.72,5.27,4
2016,May,6.59,5,5
2016,June,6.46,5.8,6
2016,July,6.44,6.4,7
2016,August,6.47,6.26,8
2016,September,6.5,6.34,9
2016,October,6.48,6.47,10
2016,November,6.43,6.68,11
2016,December,6.3,6.35,12
2017,January,6.26,6.99,1
2017,February,6.43,9.04,2
2017,March,6.76,10.28,3
2017,April,7.2,11.48,4
2017,May,7.84,11.7,5
2017,June,8.13,9.21,6
2017,July,8.21,7.47,7
2017,August,8.36,8.04,8
2017,September,8.4,7.06,9
2017,October,8.33,5.72,10
2017,November,8.15,4.73,11
2017,December,7.98,4.5,12
2018,January,7.79,4.83,1
2018,February,7.4,4.46,2
2018,March,6.89,4.18,3
2018,April,6.24,3.73,4
2018,May,5.61,3.95,5
2018,June,5.2,4.28,6
2018,July,4.95,4.35,7
2018,August,4.63,4.04,8
2018,September,4.53,5.7,9
2018,October,4.53,5.53,10
2018,November,4.59,5.58,11
2018,December,4.69,5.71,12
2019,January,4.68,4.7,1
2019,February,4.65,4.14,2
2019,March,4.67,4.35,3
2019,April,4.91,6.58,4
2019,April,4.91,6.58,4
2019,May,5.04,4.49,5
2019,June,5.16,5.7,6
2019,July,5.32,6.27,7
2019,August,5.4,5,8
2019,September,5.24,3.83,9
2019,October,5.19,4.95,10
2019,November,5.19,5.56,11
2019,December,5.2,5.82,12
2020,January,5.29,5.78,1
2020,February,5.72,7.17,2
2020,March,5.84,5.84,3
2020,April,6.03,6.01,4
2020,May,6.18,5.33,5
2020,June,6.16,4.59,6
2020,July,6.01,4.36,7
2020,August,5.87,4.36,8
2020,September,5.79,4.2,9
2020,October,5.67,4.84,10
2020,November,5.53,5.33,11
2020,December,5.41,5.62,12
2021,January,5.74,5.69,1
2021,February,5.16,5.78,2
2021,March,5.17,5.9,3
2021,April,4.66,5.76,4
2021,May,5.2,5.87,5
2021,June,5.35,6.32,6
2021,July,5.53,6.55,7
2021,August,5.71,6.57,8
2021,September,5.35,6.91,9
2021,October,6.07,6.45,10
2021,November,6.1,5.8,11
2021,December,5.62,5.73,12
2022,January,6.08,5.39,1
2022,February,6.23,5.08,2
2022,March,6.29,5.56,3
2022,April,6.05,6.47,4
2022,May,6.16,7.08,5
2022,June,6.29,7.91,6
2022,July,6.45,8.32,7
2022,August,6.61,8.53,8
2022,September,6.81,9.18,9
2022,October,7.48,9.59,10
2022,November,7.38,9.48,11
2022,December,7.66,9.06,12
2023,January,7.95,8.98,1
2023,February,8.3,9.23,2
2023,March,8.59,9.19,3
2023,April,8.71,7.9,4
2023,May,8.78,8.03,5
2023,June,8.77,7.88,6
2023,July,8.68,7.28,7
2023,August,8.52,6.73,8
2023,September,8.32,6.78,9
2023,October,8.1,6.92,10
2023,November,7.87,6.8,11
2023,December,7.67,6.63,12
2024,January,7.5,6.85,1
2024,February,7.26,6.31,2
2024,March,6.97,5.7,3
2024,April,6.73,5,4
2024,May,6.49,5.1,5
2024,June,4.64,6.22,6
2024,July,5.97,4.31,7
2024,August,5.77,4.36,8
2024,September,5.5,3.56,9
2024,October,5.14,2.72,10
2024,November,4.81,2.75,11
2024,December,4.5,2.99,12
2025,January,4.21,3.28,1
2025,February,3.98,3.45,2
2025,March,3.81,3.62,3
2025,April,3.74,4.11,4
2025,May,3.63,3.75,5
2025,June,3.56,3.82,6
